sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:01:36;1.30;;;0.60;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:04:01;4.43;;;1.20;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:06:27;2.60;;;0.60;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:08:53;1.73;;;0.60;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:11:18;2.88;;;0.90;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:13:44;2.75;;;0.40;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:16:09;2.25;;;0.80;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:18:35;3.17;;;0.65;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:21:01;2.65;;;0.77;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:23:26;1.65;;;0.82;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:25:52;2.60;;;0.75;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:28:17;2.38;;;0.85;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:30:43;3.08;;;0.80;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:33:08;1.20;;;0.50;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:35:35;2.05;;;0.65;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:38:01;1.52;;;0.70;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:40:27;1.63;;;0.73;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:42:53;1.60;;;0.52;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:45:18;4.18;;;1.00;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:47:44;1.08;;;0.43;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:50:09;1.58;;;0.60;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:52:35;4.63;;;0.70;;
82312;SDS011;79934;67.57008900;33.40048500;2025-06-29T00:55:00;2.80;;;0.82;;
