sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:00:19;99739.81;;;7.57;93.81
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:02:45;99741.50;;;7.61;93.74
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:05:10;99738.88;;;7.61;93.64
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:07:36;99742.41;;;7.57;93.38
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:10:04;99734.69;;;7.51;93.81
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:12:30;99747.78;;;7.43;93.26
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:14:55;99740.00;;;7.39;94.30
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:17:21;99738.34;;;7.31;93.42
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:19:46;99746.16;;;7.30;94.36
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:22:13;99748.78;;;7.28;94.39
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:24:40;99747.06;;;7.27;94.55
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:27:06;99751.41;;;7.27;95.01
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:29:31;99758.31;;;7.28;94.36
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:31:57;99758.31;;;7.28;94.92
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:34:22;99758.25;;;7.32;94.51
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:36:48;99761.69;;;7.38;94.94
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:39:14;99759.03;;;7.44;94.46
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:41:39;99762.41;;;7.52;94.29
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:44:05;99758.94;;;7.53;94.43
82313;BME280;79934;67.57008900;33.40048500;2025-09-26T00:46:30;99761.47;;;7.59;94.60
